year,language,count
2019,Assembly,1
2019,Astro,1
2019,Batchfile,1
2019,C,30
2019,C#,26
2019,C++,45
2019,CSS,6
2019,Clojure,1
2019,Cuda,1
2019,Dart,17
2019,Elixir,2
2019,GDScript,1
2019,Go,98
2019,Groovy,1
2019,HTML,27
2019,Haskell,2
2019,Java,46
2019,JavaScript,88
2019,Jupyter Notebook,35
2019,Kotlin,12
2019,Less,1
2019,Lua,4
2019,MDX,2
2019,Makefile,2
2019,Nim,1
2019,OCaml,1
2019,Objective-C,3
2019,PHP,6
2019,PLpgSQL,1
2019,PowerShell,5
2019,Python,174
2019,Reason,1
2019,Ruby,3
2019,Rust,53
2019,SCSS,1
2019,Scala,1
2019,Shell,19
2019,Smarty,1
2019,Svelte,1
2019,Swift,21
2019,TeX,1
2019,TypeScript,123
2019,V,1
2019,VBScript,2
2019,Visual Basic .NET,1
2019,Vue,16
2019,XSLT,1
2020,Assembly,3
2020,Batchfile,1
2020,C,20
2020,C#,27
2020,C++,41
2020,CMake,1
2020,CSS,10
2020,Clojure,2
2020,Dart,7
2020,Dockerfile,2
2020,EJS,1
2020,Elixir,2
2020,Emacs Lisp,1
2020,GDScript,1
2020,GLSL,1
2020,Go,92
2020,HCL,1
2020,HTML,30
2020,JSON,1
2020,Java,34
2020,JavaScript,100
2020,Julia,1
2020,Jupyter Notebook,26
2020,Kotlin,11
2020,Lua,12
2020,MDX,3
2020,Markdown,4
2020,Mustache,1
2020,Objective-C,2
2020,Objective-C++,1
2020,PHP,7
2020,PowerShell,3
2020,Python,169
2020,RPM Spec,1
2020,Ruby,3
2020,Rust,46
2020,SCSS,4
2020,Scala,1
2020,Scheme,1
2020,ShaderLab,1
2020,Shell,31
2020,Svelte,1
2020,Swift,13
2020,TeX,1
2020,TypeScript,147
2020,Vue,16
2020,XML,1
2020,Zig,1
2021,Assembly,1
2021,AutoIt,2
2021,Batchfile,3
2021,Blade,1
2021,C,27
2021,C#,35
2021,C++,54
2021,CSS,6
2021,Dart,11
2021,Dockerfile,1
2021,Elixir,2
2021,Erlang,1
2021,GDScript,1
2021,GLSL,1
2021,Go,85
2021,HCL,3
2021,HLSL,1
2021,HTML,24
2021,Handlebars,1
2021,Inno Setup,1
2021,Java,25
2021,JavaScript,68
2021,Jinja,1
2021,Jupyter Notebook,30
2021,Kotlin,20
2021,Liquid,1
2021,Lua,26
2021,MATLAB,1
2021,MDX,1
2021,Markdown,1
2021,Nix,1
2021,PHP,8
2021,Perl,1
2021,PostScript,1
2021,PowerShell,6
2021,Python,172
2021,R,1
2021,RenderScript,1
2021,Roff,1
2021,Rust,66
2021,SCSS,2
2021,Shell,23
2021,Solidity,3
2021,Svelte,1
2021,Swift,11
2021,TeX,5
2021,TypeScript,148
2021,Vim Script,1
2021,Vue,13
2021,Zig,2
2022,Assembly,2
2022,Astro,4
2022,AutoIt,1
2022,Batchfile,1
2022,C,22
2022,C#,22
2022,C++,43
2022,CSS,5
2022,Cuda,3
2022,Dart,9
2022,Dockerfile,3
2022,Elixir,1
2022,Fennel,1
2022,GDScript,2
2022,Go,66
2022,HCL,1
2022,HTML,21
2022,Haskell,1
2022,Java,13
2022,JavaScript,65
2022,Jinja,1
2022,Jupyter Notebook,52
2022,Just,1
2022,Kotlin,24
2022,Lua,18
2022,MATLAB,1
2022,MDX,4
2022,Makefile,2
2022,Markdown,1
2022,Move,1
2022,Nix,2
2022,OCaml,1
2022,Objective-C,3
2022,PHP,9
2022,PowerShell,2
2022,Python,190
2022,R,1
2022,Rust,77
2022,SCSS,1
2022,SVG,2
2022,SWIG,1
2022,Shell,18
2022,Solidity,4
2022,Svelte,8
2022,Swift,17
2022,TeX,3
2022,Text,1
2022,TypeScript,150
2022,Vala,1
2022,Visual Basic .NET,1
2022,Vue,15
2022,Zig,1
2023,Batchfile,3
2023,C,11
2023,C#,17
2023,C++,18
2023,CMake,1
2023,CSS,4
2023,Dart,12
2023,Go,40
2023,HCL,1
2023,HTML,15
2023,Java,23
2023,JavaScript,62
2023,Jinja,1
2023,Jupyter Notebook,60
2023,Kotlin,6
2023,Lua,3
2023,MDX,4
2023,Makefile,1
2023,Mojo,1
2023,PHP,3
2023,PLpgSQL,1
2023,PowerShell,1
2023,Python,373
2023,Rich Text Format,1
2023,Ruby,3
2023,Rust,47
2023,Scala,1
2023,Shell,16
2023,Svelte,3
2023,Swift,10
2023,TypeScript,149
2023,Vim Script,1
2023,Vue,15
2023,Zig,1
